German,English
Hallo,Hello
Auf Wiedersehen,Goodbye
Bitte,Please
Danke,Thank you
Ja,Yes
Nein,No
Entschuldigung,Excuse me
Es tut mir leid,Sorry
Was,What
Wo,Where
Wann,When
Wer,Who
Wie,How
Ich,I
Du (informal) / Sie (formal),You
Er,He
Sie,She
Es,It
Wir,We
Sie,They
Dies,This
Das,That
Hier,Here
Dort,There
Wie heißt du? ,What's your name?
Ich heiße Noor,My name is Noor
Guten Morgen,Good morning
Guten Tag,Good afternoon
Guten Abend,Good evening
Gute Nacht,Good night
Wie geht es dir?,How are you?
Mir geht es gut,I'm fine
"Ja, ich verstehe","Yes, I understand"
"Nein, ich verstehe nicht","No, I don't understand"
Bitte helfen Sie,Please help
Bitte warten,Please wait
Wie spät ist es?,What time is it?
Ich weiß nicht,I don't know
Viel Glück,Good luck
Herzlichen Glückwunsch,Congratulations
Bitte sprechen Sie langsamer,Please speak slower
Bitte wiederholen,Please repeat
Bitte schreiben Sie es auf,Please write it down
Was ist das?,What is this?
Wie viel kostet es?,How much is it?
Mir gefällt es,I like it
Mir gefällt es nicht,I don't like it
Ich liebe dich,I love you
Hilfe,Help
Halt,Stop
Öffnen,Open
Schließen,Close
Groß,Big
Klein,Small
Heiß,Hot
Kalt,Cold
Schön,Beautiful
Hässlich,Ugly
Schnell,Fast
Langsam,Slow
Gut,Good
Schlecht,Bad
Richtig,Right
Falsch,Wrong
Heute,Today
Morgen,Tomorrow
Gestern,Yesterday
Tag,Day
Nacht,Night
Woche,Week
Monat,Month
Jahr,Year
Eins,One
Zwei,Two
Drei,Three
Vier,Four
Fünf,Five
Sechs,Six
Sieben,Seven
Acht,Eight
Neun,Nine
Zehn,Ten
Zwanzig,Twenty
Dreißig,Thirty
Vierzig,Forty
Fünfzig,Fifty
Sechzig,Sixty
Siebzig,Seventy
Achtzig,Eighty
Neunzig,Ninety
Hundert,Hundred
Vater,Father
Mutter,Mother
Bruder,Brother
Schwester,Sister
Sohn,Son
Tochter,Daughter
Freund,Friend
Essen,Food
Wasser,Water
Trinken,Drink
Essen,Eat
Hungrig,Hungry
Durstig,Thirsty
Guten Morgen,Good morning
Tschüss,Goodbye
Geld,Money
Buch,Book
Stift,Pen
Schule,School
Lehrer,Teacher
Schüler,Student
Arbeit,Work
Zuhause,Home
Auto,Car
Bus,Bus
Zug,Train
Flugzeug,Plane
Krankenhaus,Hospital
Arzt,Doctor
Krankenschwester,Nurse
Wie heißen Sie?,What's your name?
